Time_t;theoretical
2017-05-12 00:00;0.806605292853362
2017-05-12 00:15;0.873636504529863
2017-05-12 00:30;0.969329898005874
2017-05-12 00:45;0.95151768053897
2017-05-12 01:00;0.983196497203508
2017-05-12 01:15;1.08660385306744
2017-05-12 01:30;1.10127255178418
2017-05-12 01:45;1.09060354191421
2017-05-12 02:00;1.18183628854997
2017-05-12 02:15;1.17078494391465
2017-05-12 02:30;1.12496953631127
2017-05-12 02:45;1.13772333134963
2017-05-12 03:00;1.13064503056589
2017-05-12 03:15;1.10690708192896
2017-05-12 03:30;1.22269400697335
2017-05-12 03:45;1.20270786834035
2017-05-12 04:00;1.19270211108488
2017-05-12 04:15;1.23901843018421
2017-05-12 04:30;1.31110483874342
2017-05-12 04:45;1.37292099374115
2017-05-12 05:00;1.43781462195538
2017-05-12 05:15;1.40051291591329
2017-05-12 05:30;1.48313626610043
2017-05-12 05:45;1.55827932769431
2017-05-12 06:00;1.62722498816115
2017-05-12 06:15;1.73889167614895
2017-05-12 06:30;1.85553786849853
2017-05-12 06:45;2.01658487564492
2017-05-12 07:00;2.12508664582869
2017-05-12 07:15;2.25741442657301
2017-05-12 07:30;2.26090265927991
2017-05-12 07:45;2.26073109370947
2017-05-12 08:00;2.31925668144017
2017-05-12 08:15;2.45069707367296
2017-05-12 08:30;2.56320069178629
2017-05-12 08:45;2.74075437222074
2017-05-12 09:00;2.7110780959819
2017-05-12 09:15;2.74315967978288
2017-05-12 09:30;2.79568136236499
2017-05-12 09:45;2.87821755585014
2017-05-12 10:00;2.85745243404783
2017-05-12 10:15;2.98256141484971
2017-05-12 10:30;3.12288338709737
2017-05-12 10:45;3.13201349707387
2017-05-12 11:00;3.15835654287507
2017-05-12 11:15;3.09683365025992
2017-05-12 11:30;3.46687297205303
2017-05-12 11:45;3.39626572957857
2017-05-12 12:00;3.14774047355085
2017-05-12 12:15;3.22663621812269
2017-05-12 12:30;3.33564382282697
2017-05-12 12:45;3.1157503313776
2017-05-12 13:00;2.66737930786535
2017-05-12 13:15;2.57616571711534
2017-05-12 13:30;2.40082887201261
2017-05-12 13:45;2.25669505365461
2017-05-12 14:00;2.44409609365427
2017-05-12 14:15;2.27742105171818
2017-05-12 14:30;2.51364593820443
2017-05-12 14:45;2.47889933779643
2017-05-12 15:00;2.5286569865087
2017-05-12 15:15;2.59122532608583
2017-05-12 15:30;2.58270757067231
2017-05-12 15:45;2.55168481692973
2017-05-12 16:00;2.62280408143697
2017-05-12 16:15;2.46833968166558
2017-05-12 16:30;2.46191752088115
2017-05-12 16:45;2.30573011514745
2017-05-12 17:00;2.30394775151592
2017-05-12 17:15;2.45514548411222
2017-05-12 17:30;2.45692303602734
2017-05-12 17:45;2.38048607841945
2017-05-12 18:00;2.44758565746148
2017-05-12 18:15;2.44082100681265
2017-05-12 18:30;2.43713238743887
2017-05-12 18:45;2.53027377911656
2017-05-12 19:00;2.59610406953844
2017-05-12 19:15;2.67877148258815
2017-05-12 19:30;2.70807748688192
2017-05-12 19:45;2.75442680192407
2017-05-12 20:00;2.79611505671254
2017-05-12 20:15;2.80436126805725
2017-05-12 20:30;2.86352022674399
2017-05-12 20:45;2.88710400608375
2017-05-12 21:00;2.88080964445801
2017-05-12 21:15;2.89945137648504
2017-05-12 21:30;2.87520448026644
2017-05-12 21:45;2.81381537834383
2017-05-12 22:00;2.84494433149077
2017-05-12 22:15;2.79305226757518
2017-05-12 22:30;2.81090843143009
2017-05-12 22:45;2.75362851318032
2017-05-12 23:00;2.72716606113507
2017-05-12 23:15;2.73326382783015
2017-05-12 23:30;2.73909424270247
2017-05-12 23:45;2.76436309153021
2017-05-13 00:00;2.78512100183705
2017-05-13 00:15;2.77932491649199
2017-05-13 00:30;2.80731475701899
2017-05-13 00:45;2.80440983598309
2017-05-13 01:00;2.78190560601345
2017-05-13 01:15;2.76937724793813
2017-05-13 01:30;2.79593386294272
2017-05-13 01:45;2.83043063321941
2017-05-13 02:00;2.84350214703704
2017-05-13 02:15;2.80693561479076
2017-05-13 02:30;2.80317812202407
2017-05-13 02:45;2.83998442687348
2017-05-13 03:00;2.81965631036607
2017-05-13 03:15;2.83470203332745
2017-05-13 03:30;2.87213380877919
2017-05-13 03:45;2.85933837469446
2017-05-13 04:00;2.90222621174591
2017-05-13 04:15;2.95897963261509
2017-05-13 04:30;3.00364236055749
2017-05-13 04:45;3.00545992157589
2017-05-13 05:00;3.02090419821376
2017-05-13 05:15;3.07824267628221
2017-05-13 05:30;3.08622701087828
2017-05-13 05:45;3.13976342378204
2017-05-13 06:00;3.17428740372102
2017-05-13 06:15;3.18651066384707
2017-05-13 06:30;3.17705473396827
2017-05-13 06:45;3.2182871856408
2017-05-13 07:00;3.23409326705719
2017-05-13 07:15;3.38330267673408
2017-05-13 07:30;3.28803328278068
2017-05-13 07:45;3.36286208455788
2017-05-13 08:00;3.35371207473216
2017-05-13 08:15;3.34066981826602
2017-05-13 08:30;3.41636432538272
2017-05-13 08:45;3.32954005985378
2017-05-13 09:00;3.32483873957223
2017-05-13 09:15;3.23862701913902
2017-05-13 09:30;3.19228825777876
2017-05-13 09:45;3.04013559381623
2017-05-13 10:00;3.13134673790003
2017-05-13 10:15;3.15675434816734
2017-05-13 10:30;2.99591626933383
2017-05-13 10:45;3.01725526116356
2017-05-13 11:00;2.96335872092838
2017-05-13 11:15;2.98980894380184
2017-05-13 11:30;2.83207691259103
2017-05-13 11:45;2.91710621677062
2017-05-13 12:00;2.79167839133229
2017-05-13 12:15;2.64565081287115
2017-05-13 12:30;2.74685804009637
2017-05-13 12:45;2.83712872426827
2017-05-13 13:00;2.76118852442389
2017-05-13 13:15;2.76962628392255
2017-05-13 13:30;2.79402284194083
2017-05-13 13:45;2.80651222189637
2017-05-13 14:00;2.77975963014408
2017-05-13 14:15;2.81702933269494
2017-05-13 14:30;2.85888220689323
2017-05-13 14:45;2.72992496406312
2017-05-13 15:00;2.85480516294377
2017-05-13 15:15;2.81830840247618
2017-05-13 15:30;2.9615234717901
2017-05-13 15:45;2.92565540762507
2017-05-13 16:00;3.01095821871928
2017-05-13 16:15;3.04171609553749
2017-05-13 16:30;3.08954582229399
2017-05-13 16:45;3.08499162574431
2017-05-13 17:00;3.11890087188106
2017-05-13 17:15;3.18436947173134
2017-05-13 17:30;3.17246006148861
2017-05-13 17:45;3.17845864547726
2017-05-13 18:00;3.1679712280018
2017-05-13 18:15;3.19450069239649
2017-05-13 18:30;3.11964725900881
2017-05-13 18:45;3.17520249442123
2017-05-13 19:00;3.06630563654441
2017-05-13 19:15;3.0276832384536
2017-05-13 19:30;3.1596150044923
2017-05-13 19:45;3.02822267597249
2017-05-13 20:00;2.90318134618116
2017-05-13 20:15;2.86283320290941
2017-05-13 20:30;2.92680177583397
2017-05-13 20:45;2.97976734543124
2017-05-13 21:00;2.97813421938049
2017-05-13 21:15;2.92713409119923
2017-05-13 21:30;2.96631340538666
2017-05-13 21:45;3.04288899533538
2017-05-13 22:00;3.1130358904951
2017-05-13 22:15;3.09015471813286
2017-05-13 22:30;3.09015471813286
2017-05-13 22:45;3.16369276697405
2017-05-13 23:00;3.30301090199112
2017-05-13 23:15;3.23379917740937
2017-05-13 23:30;3.27241492381677
2017-05-13 23:45;3.18325524601679
2017-05-14 00:00;3.0212721375059
2017-05-14 00:15;3.01873370131378
2017-05-14 00:30;2.80129329208558
2017-05-14 00:45;2.80709461851531
2017-05-14 01:00;2.63427994989387
2017-05-14 01:15;2.53996122970531
2017-05-14 01:30;2.4602625965812
2017-05-14 01:45;2.30358305053905
2017-05-14 02:00;2.11186761656773
2017-05-14 02:15;2.20355164632544
2017-05-14 02:30;2.22848861588619
2017-05-14 02:45;2.32280284284996
2017-05-14 03:00;2.312778457674
2017-05-14 03:15;2.31852349676554
2017-05-14 03:30;2.31166070315751
2017-05-14 03:45;2.24913237918649
2017-05-14 04:00;2.36583805616139
2017-05-14 04:15;2.27028894612049
2017-05-14 04:30;2.62470465452753
2017-05-14 04:45;2.51313850948201
2017-05-14 05:00;2.55559985897888
2017-05-14 05:15;2.90023319042711
2017-05-14 05:30;3.22575209984944
2017-05-14 05:45;3.12919009305628
2017-05-14 06:00;3.24209240942545
2017-05-14 06:15;3.14083321739432
2017-05-14 06:30;3.12626614622491
2017-05-14 06:45;3.30421873728268
2017-05-14 07:00;2.77807508706133
2017-05-14 07:15;2.3581600927244
2017-05-14 07:30;2.37753638501272
2017-05-14 07:45;2.00904520630943
2017-05-14 08:00;2.13703480836
2017-05-14 08:15;1.72793411895437
2017-05-14 08:30;1.69835374145897
2017-05-14 08:45;1.47729926495548
2017-05-14 09:00;2.36151805337463
2017-05-14 09:15;1.71797172464787
