Time;Atm_pressure;Temperature;Humidity;Displacement
11.05.2017 00:00;1009.2800293;3.22000003;87.25;-0.348061182282812
11.05.2017 01:00;1008.97998047;3.22000003;85.77999878;-0.445453784674484
11.05.2017 02:00;1008.59997559;2.23000002;89.5;-0.407566530770865
11.05.2017 03:00;1008.36999512;1.39999998;93.02999878;-0.35693821247348
11.05.2017 04:00;1008.59997559;2.75;92.59999847;-0.153025035295656
11.05.2017 05:00;1008.45001221;6.55000019;78.12999725;-0.380950629180049
11.05.2017 06:00;1008.45001221;10.60000038;63.27000046;-0.795340354432831
11.05.2017 07:00;1008.66998291;15.38000011;48.47000122;-1.41083777237514
11.05.2017 08:00;1008.36999512;17.20000076;46.52999878;-1.3083927627324
11.05.2017 09:00;1008.15002441;17.20000076;46.65000153;-1.30144553644417
11.05.2017 10:00;1007.61999512;17.20000076;46.25;-1.37622604603945
11.05.2017 11:00;1007.16998291;18.82999992;43.09999847;-1.49567656200693
11.05.2017 12:00;1007.16998291;19.62000084;40.68000031;-1.69325197804267
11.05.2017 13:00;1006.72998048;19.39999963;40.6;-1.78221089621916
11.05.2017 14:00;1006.41998291;20.20000076;39.75;-1.74937079052679
11.05.2017 15:00;1006.11999512;20.35000038;35.72000122;-2.36838733092812
11.05.2017 16:00;1005.75;20.07999992;38.90000153;-1.93339634207458
11.05.2017 17:00;1005.59997559;20.25;36.97999954;-2.20823042454021
11.05.2017 18:00;1005.59997559;16.96999931;50.5;-0.948283152254731
11.05.2017 19:00;1006.11999512;13.94999981;66.52999878;0.223187459892323
11.05.2017 20:00;1006.11999512;11.30000019;79.52999878;0.782497592636823
11.05.2017 21:00;1006.11999512;8.72999954;89.66999817;0.913824718228071
11.05.2017 22:00;1006.04998779;8.35000038;89.94999695;0.824678494389062
11.05.2017 23:00;1005.90002441;8.72999954;88.5;0.809865159997983
12.05.2017 00:00;1005.5300293;7.8499999;91.80000305;0.806605292853362
12.05.2017 01:00;1005.29998779;8.63000011;91.31999969;0.983196497203508
12.05.2017 02:00;1005;9.25;91.59999847;1.18183628854997
12.05.2017 03:00;1004.84997559;9.67000008;89.51999664;1.13064503056589
12.05.2017 04:00;1004.40002441;9.72000027;90.27999878;1.19270211108488
12.05.2017 05:00;1005;10.05000019;91.58000183;1.43781462195538
12.05.2017 06:00;1005;10.14999962;93.34999847;1.62722498816115
12.05.2017 07:00;1005;11.14999962;94.84999847;2.12508664582869
12.05.2017 08:00;1005.29998779;11.85000038;93.91999817;2.31925668144017
12.05.2017 09:00;1005.45001221;12.77000046;94.02999878;2.7110780959819
12.05.2017 10:00;1005.5300293;13.80000019;91.23000336;2.85745243404783
12.05.2017 11:00;1005.59997559;15.19999981;88.37000275;3.15835654287507
12.05.2017 12:00;1005.29998779;17.28000069;80.75;3.14774047355085
12.05.2017 13:00;1005.29998779;17.57999992;76.16999817;2.66737930786535
12.05.2017 14:00;1005.5300293;18.27000046;72.31999969;2.44409609365427
12.05.2017 15:00;1005.75;16.85000038;77.37000275;2.5286569865087
12.05.2017 16:00;1005.90002441;16.54999924;79.05000305;2.62280408143697
12.05.2017 17:00;1006.04998779;16.60000038;76.34999847;2.30394775151592
12.05.2017 18:00;1006.86999512;15.64999962;80.37999725;2.44758565746148
12.05.2017 19:00;1007.32000732;14.22999954;86.55000305;2.59610406953844
12.05.2017 20:00;1007.84997559;13.57999992;90.65000153;2.79611505671254
12.05.2017 21:00;1007.54998779;12.86999989;94.41999817;2.88080964445801
12.05.2017 22:00;1007.61999512;12.64999962;94.94999695;2.84494433149077
12.05.2017 23:00;1007.54998779;12.60000038;94.02999878;2.72716606113507
13.05.2017 00:00;1007.61999512;12.60000038;94.56999969;2.78512100183705
13.05.2017 01:00;1007.61999512;12.5;94.94999695;2.78190560601345
13.05.2017 02:00;1007.61999512;12.55000019;95.34999847;2.84350214703704
13.05.2017 03:00;1007.7800293;12.55000019;95.05000305;2.81965631036607
13.05.2017 04:00;1008.15002441;12.5;95.91999817;2.90222621174591
13.05.2017 05:00;1008.45001221;12.77000046;95.83000183;3.02090419821376
13.05.2017 06:00;1008.90002441;12.43000031;98.59999847;3.17428740372102
13.05.2017 07:00;1009.20001221;12.39999962;99.19999695;3.23409326705719
13.05.2017 08:00;1009.86999512;12.5;99.66999817;3.35371207473216
13.05.2017 09:00;1010.47998047;12.75;98.05000305;3.32483873957223
