Time;Atm_pressure;Temperature;Humidity;Displacement
2017-05-18 18:15;1015.88000488;19.02000046;55.27000046;0.687439678346195
2017-05-18 18:30;1015.88000488;18.54999924;55.84999847;0.6272315793587
2017-05-18 18:45;1015.88000488;18.21999931;56.63000107;0.637692581576367
2017-05-18 19:00;1016.02001953;17.95000076;57.29999924;0.655145717595232
2017-05-18 19:15;1016.17999268;17.60000038;59.04999924;0.794865780312463
2017-05-18 19:30;1016.09997559;17.37000084;60.36999893;0.898321672099755
2017-05-18 19:45;1016.17999268;17.28000069;62.02000046;1.09363567557615
2017-05-18 20:00;1016.09997559;16.06999969;67.58000183;1.40867631635486
2017-05-18 20:15;1016.09997559;15.39999962;70.66999817;1.5600614391694
2017-05-18 20:30;1016.02001953;14.39999962;76.72000122;1.91355858803485
2017-05-18 20:45;1016.09997559;13.75;81.23000336;2.18279901287271
2017-05-18 21:00;1016.02001953;13.47999954;85.18000031;2.50510714196443
2017-05-18 21:15;1016.02001953;12.85000038;88.12999725;2.57303537209469
2017-05-18 21:30;1016.09997559;12.75;88.5;2.57595265205443
2017-05-18 21:45;1016.02001953;12.77000046;90.15000153;2.75023290302432
2017-05-18 22:00;1016.02001953;12.07999992;91.90000153;2.65676598613603
2017-05-18 22:15;1015.88000488;11.85000038;93.08000183;2.67779695576334
2017-05-18 22:30;1015.79998779;11.55000019;92.34999847;2.48958523723974
2017-05-18 22:45;1015.79998779;11.39999962;93.55000305;2.54765661636071
2017-05-18 23:00;1015.5;11.5;92.97000122;2.51761476927863
2017-05-18 23:15;1015.57000732;11.18000031;94.09999847;2.50726135620248
2017-05-18 23:30;1015.57000732;11.05000019;94.26999664;2.4746331944843
2017-05-18 23:45;1015.5;11.02999973;95.37999725;2.56742034178627
2017-05-19 00:00;1015.5;11.05000019;94.59999847;2.50241042695816
2017-05-19 00:15;1015.5;10.97000027;95.18000031;2.52631047683398
2017-05-19 00:30;1015.5;10.77999973;94.59999847;2.40253503116418
2017-05-19 00:45;1015.5;10.56999969;95.06999969;2.36872496928248
2017-05-19 01:00;1015.34997559;10.39999962;96.52999878;2.43178980373619
2017-05-19 01:15;1015.34997559;10.27999973;95.84999847;2.32761538813055
2017-05-19 01:30;1015.5;9.97000027;95.33000183;2.1784492072934
2017-05-19 01:45;1015.5;9.88000011;96;2.20533944099934
2017-05-19 02:00;1015.57000732;9.97000027;96.25;2.26162784947672
2017-05-19 02:15;1015.57000732;9.80000019;95.23000336;2.11393416450046
2017-05-19 02:30;1015.5;9.52999973;96.33000183;2.11273441897361
2017-05-19 02:45;1015.34997559;9.52999973;97.5;2.20582546737003
2017-05-19 03:00;1015.5;9.35000038;97;2.10795157190529
2017-05-19 03:15;1015.34997559;9.25;96.69999695;2.04268405032845
2017-05-19 03:30;1015.5;9.5;97.25;2.18050490301908
2017-05-19 03:45;1015.34997559;10.38000011;95.09999847;2.29664346442276
2017-05-19 04:00;1015.5;11.02999973;93.55000305;2.39737835442136
2017-05-19 04:15;1015.5;12;91.44999695;2.55998420426834
2017-05-19 04:30;1015.5;12.77000046;88.37000275;2.54538262579845
2017-05-19 04:45;1015.34997559;13.52000046;84.37999725;2.40674783921327
2017-05-19 05:00;1015.57000732;14.22999954;81.87999725;2.41327896050832
2017-05-19 05:15;1015.5;14.60000038;78.31999969;2.14695224830093
2017-05-19 05:30;1015.57000732;15.14999962;73.68000031;1.80970795473893
2017-05-19 05:45;1015.5;15.92000008;71.59999847;1.83056090785448
2017-05-19 06:00;1015.5;16.75;69.81999969;1.9076009701345
2017-05-19 06:15;1015.5;17.54999924;67.62000275;1.91248746393724
2017-05-19 06:30;1015.5;17.85000038;65.5;1.7333122253477
2017-05-19 06:45;1015.5;18.62000084;62.47999954;1.58654381520694
2017-05-19 07:00;1015.34997559;19.5;62.97999954;1.9815819471267
2017-05-19 07:15;1015.20001221;19.89999962;63.34999847;2.18881610921287
2017-05-19 07:30;1015.04998779;20.37999916;59.93000031;1.83513732354242
2017-05-19 07:45;1015.04998780;20.37999917;59.93000032;1.83513732354242
2017-05-19 08:00;1014.87664795333;21;57.1133333833333;1.50109502306319
2017-05-19 08:15;1014.87664795333;21;57.1133333833333;1.50109502306319
2017-05-19 08:30;1014.87664795333;21;57.1133333833333;1.50109502306319
2017-05-19 08:45;1014.87664795333;21;57.1133333833333;1.50109502306319
2017-05-19 09:00;1014.40332031667;22.5;51.2466672266667;1.02060809899968
2017-05-19 09:15;1014.40332031667;22.5;51.2466672266667;1.02060809899968
2017-05-19 09:30;1014.40332031667;22.5;51.2466672266667;1.02060809899968
2017-05-19 09:45;1014.40332031667;22.5;51.2466672266667;1.02060809899968
2017-05-19 10:00;1013.92999268;24;45.38000107;0.540121174936175
2017-05-19 10:15;1013.84997559;24.14999962;44.27000046;0.370958194441144
2017-05-19 10:30;1013.63000488;24.46999931;44.90000153;0.590799997722442
