Time;Atm_pressure;Temperature;Humidity
2017-05-11 14:45;1006.11999512;20.14999962;41.47000122
2017-05-11 15:00;1006.11999512;20.35000038;35.72000122
2017-05-11 15:15;1005.83001709;20.60000038;40.43000031
2017-05-11 15:30;1005.83001709;19.87000084;40.81999969
2017-05-11 15:45;1005.83001709;20.20000076;38.08000183
2017-05-11 16:00;1005.75;20.07999992;38.90000153
2017-05-11 16:15;1005.5300293;20.35000038;38.13000107
2017-05-11 16:30;1005.59997559;19.97999954;37.59999847
2017-05-11 16:45;1005.5300293;20.04999924;38.08000183
2017-05-11 17:00;1005.59997559;20.25;36.97999954
2017-05-11 17:15;1005.5300293;19.57999992;42.90000153
2017-05-11 17:30;1005.59997559;19.02000046;43.97999954
2017-05-11 17:45;1005.75;18.21999931;46.45000076
2017-05-11 18:00;1005.59997559;16.96999931;50.5
2017-05-11 18:15;1005.75;16.31999969;56
2017-05-11 18:30;1005.75;15.17000008;61.11999893
2017-05-11 18:45;1005.90002441;14.10000038;67.98000336
2017-05-11 19:00;1006.11999512;13.94999981;66.52999878
2017-05-11 19:15;1006.41998291;12.75;73.83000183
2017-05-11 19:30;1006.11999512;12.36999989;73.75
2017-05-11 19:45;1006.34997559;11.05000019;83.06999969
2017-05-11 20:00;1006.11999512;11.30000019;79.52999878
2017-05-11 20:15;1006.34997559;10.27999973;88.22000122
2017-05-11 20:30;1006.11999512;10.64999962;83.84999847
2017-05-11 20:45;1006.11999512;10.27999973;84.48000336
2017-05-11 21:00;1006.11999512;8.72999954;89.66999817
2017-05-11 21:15;1005.90002441;8.64999962;91.59999847
2017-05-11 21:30;1005.90002441;8.55000019;93.69999695
2017-05-11 21:45;1006.04998779;8.64999962;92.76999664
2017-05-11 22:00;1006.04998779;8.35000038;89.94999695
2017-05-11 22:15;1006.04998779;8.14999962;93.31999969
2017-05-11 22:30;1006.2800293;8.64999962;89.22000122
2017-05-11 22:45;1005.90002441;8.75;89.08000183
2017-05-11 23:00;1005.90002441;8.72999954;88.5
2017-05-11 23:15;1005.75;8.35000038;89.01999664
2017-05-11 23:30;1005.83001709;7.94999981;91.01999664
2017-05-11 23:45;1005.83001709;8;91.87999725
2017-05-12 00:00;1005.5300293;7.8499999;91.80000305
2017-05-12 00:15;1005.5300293;8.17000008;91.5
2017-05-12 00:30;1005.5300293;8.55000019;91.31999969
2017-05-12 00:45;1005.5300293;8.75;90.37000275
2017-05-12 01:00;1005.29998779;8.63000011;91.31999969
2017-05-12 01:15;1005.29998779;8.80000019;91.97000122
2017-05-12 01:30;1005.22998047;8.85000038;92
2017-05-12 01:45;1005;9;91.43000031
2017-05-12 02:00;1005;9.25;91.59999847
2017-05-12 02:15;1004.91998291;9.39999962;90.94999695
2017-05-12 02:30;1005;9.5;90
2017-05-12 02:45;1004.91998291;9.52999973;90.08000183
2017-05-12 03:00;1004.84997559;9.67000008;89.51999664
2017-05-12 03:15;1004.91998291;9.69999981;89.09999847
2017-05-12 03:30;1004.91998291;9.80000019;90.08000183
2017-05-12 03:45;1004.70001221;9.72000027;90.25
2017-05-12 04:00;1004.40002441;9.72000027;90.27999878
2017-05-12 04:15;1004.70001221;9.77999973;90.44999695
2017-05-12 04:30;1004.70001221;9.67000008;91.69999695
2017-05-12 04:45;1004.91998291;9.80000019;91.81999969
2017-05-12 05:00;1005;10.05000019;91.58000183
2017-05-12 05:15;1005.29998779;10.38000011;89.77999878
2017-05-12 05:30;1005.22998047;10.35000038;90.84999847
2017-05-12 05:45;1005;10.35000038;91.80000305
2017-05-12 06:00;1005;10.14999962;93.34999847
2017-05-12 06:15;1005.15002441;10.27999973;94.02999878
2017-05-12 06:30;1005;10.5;94.52999878
2017-05-12 06:45;1004.91998291;10.68000031;95.62000275
2017-05-12 07:00;1005;11.14999962;94.84999847
2017-05-12 07:15;1005.15002441;11.85000038;93.34999847
2017-05-12 07:30;1005;11.82999992;93.52999878
2017-05-12 07:45;1005.22998047;11.89999962;93.15000153
2017-05-12 08:00;1005.29998779;11.85000038;93.91999817
2017-05-12 08:15;1005.29998779;11.75;95.68000031
2017-05-12 08:30;1005.22998047;11.97000027;95.94999695
2017-05-12 08:45;1005.45001221;12.39999962;95.84999847
2017-05-12 09:00;1005.45001221;12.77000046;94.02999878
2017-05-12 09:15;1005.5300293;12.86999989;93.90000153
2017-05-12 09:30;1005.59997559;13.27000046;92.75
2017-05-12 09:45;1005.5300293;13.57999992;92.30000305
2017-05-12 10:00;1005.5300293;13.80000019;91.23000336
2017-05-12 10:15;1005.59997559;14.19999981;90.75
2017-05-12 10:30;1005.5300293;14.52000046;90.75
2017-05-12 10:45;1005.5300293;15.25;87.98000336
2017-05-12 11:00;1005.59997559;15.19999981;88.37000275
2017-05-12 11:15;1005.59997559;15.44999981;86.90000153
2017-05-12 11:30;1005.5300293;16.5;85.94999695
