Time_t;theoretical;Time_o;observed
2017-05-28 21:15;3.75887904251466;2017-05-23 05:34;1.032557
2017-05-28 21:30;3.75797448785896;2017-05-23 05:44;1.005166
2017-05-28 21:45;3.37095207954742;2017-05-23 05:54;1.097365
2017-05-28 22:00;3.64525136822616;2017-05-23 06:04;1.183947
2017-05-28 22:15;3.68353315923985;2017-05-23 06:14;1.287281
2017-05-28 22:30;3.33702076945566;2017-05-23 06:24;1.26593
2017-05-28 22:45;3.32960008548006;2017-05-23 06:34;1.397634
2017-05-28 23:00;3.23569637171292;2017-05-23 06:44;1.448797
2017-05-28 23:15;3.13829421134142;2017-05-23 06:54;1.439333
2017-05-28 23:30;3.08306851453981;2017-05-23 07:04;1.727975
2017-05-28 23:45;3.05390126196691;2017-05-23 07:13;1.688025
2017-05-29 00:00;3.12594292411629;2017-05-23 07:23;1.712059
2017-05-29 00:15;2.95428034780134;2017-05-23 07:33;1.641784
2017-05-29 00:30;2.8337289721985;2017-05-23 07:43;1.476234
2017-05-29 00:45;2.86529397586785;2017-05-23 07:53;1.42017
2017-05-29 01:00;2.71074154024031;2017-05-23 08:03;1.261456
2017-05-29 01:15;2.46624800528181;2017-05-23 08:13;1.215754
2017-05-29 01:30;2.58101397864669;2017-05-23 08:23;1.179671
2017-05-29 01:45;2.57277996065363;2017-05-23 08:33;1.117866
2017-05-29 02:00;2.583758351043;2017-05-23 08:43;1.442867
2017-05-29 02:15;2.5787686814942;2017-05-23 08:53;1.099318
2017-05-29 02:30;2.40470972437583;2017-05-23 09:03;0.920442
2017-05-29 02:45;2.43186623814362;2017-05-23 09:13;1.332618
2017-05-29 03:00;2.48184886586809;2017-05-23 09:23;0.859513
2017-05-29 03:15;2.53719888756814;2017-05-23 09:33;0.823718
2017-05-29 03:30;2.79511431979178;2017-05-23 09:43;0.880375
2017-05-29 03:45;2.98097856948163;2017-05-23 09:53;1.016512
2017-05-29 04:00;3.18417732132146;2017-05-23 10:03;0.634923
2017-05-29 04:15;3.44606978150293;2017-05-23 10:13;0.743332
2017-05-29 04:30;3.96855428140226;2017-05-23 10:23;0.542341
2017-05-29 04:45;2.82953673100628;2017-05-23 10:32;0.810037
2017-05-29 05:00;3.07683894536588;2017-05-23 10:42;0.486745
2017-05-29 05:15;3.48457956905826;2017-05-23 10:52;0.588071
2017-05-29 05:30;3.71640444004932;2017-05-23 11:02;0.737748
2017-05-29 05:45;2.17318911316575;2017-05-23 11:12;0.661142
2017-05-29 06:00;2.32810671274035;2017-05-23 11:22;0.518566
2017-05-29 06:15;0.595261365611414;2017-05-23 11:32;0.565355
2017-05-29 06:30;1.19261507084609;2017-05-23 11:42;0.620714
2017-05-29 06:45;2.13335901505871;2017-05-23 11:52;0.83971
2017-05-29 07:00;1.0241208912229;2017-05-23 12:02;0.517283
2017-05-29 07:15;1.03780606679081;2017-05-23 12:12;0.613959
2017-05-29 07:30;1.5719880303331;2017-05-23 12:22;0.298747
2017-05-29 07:45;1.45550108880688;2017-05-23 12:32;0.620599
2017-05-29 08:00;0.615701285097096;2017-05-23 12:42;0.520194
2017-05-29 08:15;1.32709927971036;2017-05-23 12:52;0.401024
2017-05-29 08:30;0.418855136277941;2017-05-23 13:02;0.506106
2017-05-29 08:45;2.62279005224831;2017-05-23 13:12;0.00056
2017-05-29 09:00;1.28138347488874;2017-05-23 13:22;-0.086536
2017-05-29 09:15;0.708818181723522;2017-05-23 13:32;0.178967
2017-05-29 09:30;1.78572154445379;2017-05-23 13:42;0.178842
2017-05-29 09:45;1.09370642349263;2017-05-23 13:51;-0.579581
2017-05-29 10:00;0.946099059610049;2017-05-23 14:01;0.145997
2017-05-29 10:15;0.6537868048364;2017-05-23 14:11;0.277188
2017-05-29 10:30;0.536705330821491;2017-05-23 14:21;0.155132
2017-05-29 10:45;0.460269287203275;2017-05-23 14:31;0.50918
2017-05-29 11:00;1.09293837169121;2017-05-23 14:41;0.545662
2017-05-29 11:15;1.06732198173104;2017-05-23 14:51;-0.04881
2017-05-29 11:30;0.324845685112351;2017-05-23 15:01;0.128865
2017-05-29 11:45;0.390242486021769;2017-05-23 15:11;1.049745
2017-05-29 12:00;0.728444456868232;2017-05-23 15:21;0.890732
2017-05-29 12:15;1.68471011533983;2017-05-23 15:31;0.628764
2017-05-29 12:30;0.996652020573755;2017-05-23 15:41;1.13983
2017-05-29 12:45;0.190385371087793;2017-05-23 15:51;-0.21763
2017-05-29 13:00;-0.551599960804623;2017-05-23 16:01;0.096962
2017-05-29 13:15;1.11794951878623;2017-05-23 16:12;0.71102
2017-05-29 13:30;-0.520247244787612;2017-05-23 16:22;0.974689
2017-05-29 13:45;0.0633757032353515;2017-05-23 16:32;0.931682
2017-05-29 14:00;0.557740288114701;2017-05-23 16:42;1.241544
2017-05-29 14:15;0.0557709603179219;2017-05-23 16:52;1.247408
2017-05-29 14:30;0.0878208449546563;2017-05-23 17:02;1.167515
2017-05-29 14:45;0.365659622815969;2017-05-23 17:12;1.331796
2017-05-29 15:00;0.234919653354929;2017-05-23 17:22;1.276448
2017-05-29 15:15;0.802172546371104;2017-05-23 17:32;1.540615
2017-05-29 15:30;0.580784038559948;2017-05-23 17:42;1.161623
2017-05-29 15:45;0.596379199925046;2017-05-23 17:52;1.364627
2017-05-29 16:00;1.41410063367531;2017-05-23 18:02;1.007395
2017-05-29 16:15;0.756041646853326;2017-05-23 18:11;1.298793
2017-05-29 16:30;0.694572037080412;2017-05-23 18:21;1.911305
2017-05-29 16:45;1.29486992610639;2017-05-23 18:31;1.842995
2017-05-29 17:00;1.7189853269056;2017-05-23 18:41;1.191686
2017-05-29 17:15;1.75745634155191;2017-05-23 18:51;1.649699
2017-05-29 17:30;1.78454883184025;2017-05-23 19:01;1.850438
2017-05-29 17:45;1.64403633824168;2017-05-23 19:11;1.967679
2017-05-29 18:00;1.87897118385673;2017-05-23 19:21;1.868936
2017-05-29 18:15;2.05165208699398;2017-05-23 19:31;2.132511
2017-05-29 18:30;2.67787883063643;2017-05-23 19:41;1.662095
2017-05-29 18:45;3.19532355349846;2017-05-23 19:51;2.17619
2017-05-29 19:00;3.36447840318698;2017-05-23 20:01;1.759405
2017-05-29 19:15;3.39484548534219;2017-05-23 20:11;1.924518
2017-05-29 19:30;3.30890534106118;2017-05-23 20:21;1.809535
2017-05-29 19:45;3.27626857580292;2017-05-23 20:31;1.745948
2017-05-29 20:00;3.56044443733702;2017-05-23 20:40;1.838777
2017-05-29 20:15;3.38443558459538;2017-05-23 20:50;1.935933
2017-05-29 20:30;3.39669586533634;2017-05-23 21:00;1.897043
2017-05-29 20:45;3.90590486123031;2017-05-23 21:10;1.949095
2017-05-29 21:00;2.92550637702743;2017-05-23 21:20;1.977121
2017-05-29 21:15;2.87618719465569;2017-05-23 21:30;1.980251
2017-05-29 21:30;3.03279155654205;2017-05-23 21:40;1.989447
2017-05-29 21:45;2.8968943019943;2017-05-23 21:50;1.974679
2017-05-29 22:00;2.9698931242532;2017-05-23 22:00;2.011447
2017-05-29 22:15;2.78434167169849;2017-05-23 22:10;1.913251
2017-05-29 22:30;2.88249659421746;2017-05-23 22:20;1.882826
2017-05-29 22:45;3.22625542132987;2017-05-23 22:30;1.826703
2017-05-29 23:00;3.67286725359414;2017-05-23 22:40;1.765455
2017-05-29 23:15;2.99228376063878;2017-05-23 22:50;1.846821
2017-05-29 23:30;3.22463663664066;2017-05-23 23:00;1.747886
2017-05-29 23:45;3.1130260727102;2017-05-23 23:10;1.662842
2017-05-30 00:00;3.08303857637392;2017-05-23 23:20;1.602612
2017-05-30 00:15;3.48117580632496;2017-05-23 23:30;1.775633
2017-05-30 00:30;3.58183076329969;2017-05-23 23:40;1.824903
2017-05-30 00:45;3.5559511523297;2017-05-23 23:50;1.945746
2017-05-30 01:00;4.1495612709234;2017-05-24 00:00;1.793614
2017-05-30 01:15;4.15520715770325;2017-05-24 00:04;1.563589
2017-05-30 01:30;3.88729468157106;2017-05-24 00:15;1.546179
2017-05-30 01:45;3.7281334737845;2017-05-24 00:25;1.577684
2017-05-30 02:00;3.51278008662719;2017-05-24 00:35;1.63769
2017-05-30 02:15;3.48134063945779;2017-05-24 00:44;1.775554
2017-05-30 02:30;3.68140562692838;2017-05-24 00:54;1.618335
2017-05-30 02:45;3.69675901581697;2017-05-24 01:04;1.627403
2017-05-30 03:00;3.60933131624454;2017-05-24 01:14;1.642184
2017-05-30 03:15;3.46486812370643;2017-05-24 01:24;1.379257
2017-05-30 03:30;3.5996681229095;2017-05-24 01:34;1.647304
